y,x,street_count,highway,junction,railway,geometry
19.0588477,72.9591875,3,,,,POINT (72.9591875 19.0588477)
18.9060052,72.8163986,3,,,,POINT (72.8163986 18.9060052)
18.9068234,72.816752,3,,,,POINT (72.816752 18.9068234)
18.9114846,72.8232687,1,,,,POINT (72.8232687 18.9114846)
18.9111765,72.8208639,3,,,,POINT (72.8208639 18.9111765)
18.9112099,72.8190373,3,,,,POINT (72.8190373 18.9112099)
18.9104122,72.8258924,1,,,,POINT (72.8258924 18.9104122)
18.9125746,72.8223049,3,,,,POINT (72.8223049 18.9125746)
18.9125696,72.8238939,3,,,,POINT (72.8238939 18.9125696)
18.9133676,72.8231405,3,,,,POINT (72.8231405 18.9133676)
18.9136443,72.822446,3,,,,POINT (72.822446 18.9136443)
18.9142873,72.823216,3,,,,POINT (72.823216 18.9142873)
18.914673,72.8227426,3,,,,POINT (72.8227426 18.914673)
18.9143496,72.8193058,3,,,,POINT (72.8193058 18.9143496)
18.9143089,72.8217366,4,traffic_signals,,,POINT (72.8217366 18.9143089)
18.9149679,72.8223544,4,,,,POINT (72.8223544 18.9149679)
18.9155141,72.8258088,3,,,,POINT (72.8258088 18.9155141)
18.9161966,72.8240322,3,,,,POINT (72.8240322 18.9161966)
18.9164885,72.8236255,4,traffic_signals,,,POINT (72.8236255 18.9164885)
18.9158809,72.8286441,3,,,,POINT (72.8286441 18.9158809)
18.9160575,72.8296598,2,,,,POINT (72.8296598 18.9160575)
18.9164239,72.8286763,3,,,,POINT (72.8286763 18.9164239)
18.9165463,72.8302755,3,,,,POINT (72.8302755 18.9165463)
18.9167028,72.82921,3,,,,POINT (72.82921 18.9167028)
18.9168552,72.8290303,3,,,,POINT (72.8290303 18.9168552)
18.9164137,72.8278394,3,,,,POINT (72.8278394 18.9164137)
18.9167565,72.8282888,4,,,,POINT (72.8282888 18.9167565)
18.9171319,72.8297346,4,,,,POINT (72.8297346 18.9171319)
18.9168694,72.8281574,4,,,,POINT (72.8281574 18.9168694)
18.9171372,72.8287406,3,,,,POINT (72.8287406 18.9171372)
18.9179309,72.8315273,3,,,,POINT (72.8315273 18.9179309)
18.9178025,72.830447,3,,,,POINT (72.830447 18.9178025)
18.9168421,72.8181602,3,,,,POINT (72.8181602 18.9168421)
18.9187946,72.8255542,4,traffic_signals,,,POINT (72.8255542 18.9187946)
18.9169903,72.8272108,4,,,,POINT (72.8272108 18.9169903)
18.9173036,72.8284809,3,,,,POINT (72.8284809 18.9173036)
18.9183637,72.8316562,3,,,,POINT (72.8316562 18.9183637)
18.9181569,72.830535,4,,,,POINT (72.830535 18.9181569)
18.917806,72.829137,3,,,,POINT (72.829137 18.917806)
18.9174045,72.8275252,4,,,,POINT (72.8275252 18.9174045)
18.9173106,72.8183949,1,,,,POINT (72.8183949 18.9173106)
18.9175128,72.8265825,3,,,,POINT (72.8265825 18.9175128)
18.91774,72.8277862,4,,,,POINT (72.8277862 18.91774)
18.9180362,72.829375,3,,,,POINT (72.829375 18.9180362)
18.9186139,72.8306337,3,,,,POINT (72.8306337 18.9186139)
18.91853,72.8310209,4,,,,POINT (72.8310209 18.91853)
18.9178944,72.8268994,3,,,,POINT (72.8268994 18.9178944)
18.9179766,72.8280202,3,,,,POINT (72.8280202 18.9179766)
18.918397,72.8294801,3,,,,POINT (72.8294801 18.918397)
18.9182207,72.8271892,3,,,,POINT (72.8271892 18.9182207)
18.9184505,72.8285473,3,,,,POINT (72.8285473 18.9184505)
18.9188414,72.8295933,3,,,,POINT (72.8295933 18.9188414)
18.9189995,72.8312071,3,,,,POINT (72.8312071 18.9189995)
18.9189023,72.8290725,5,traffic_signals,,,POINT (72.8290725 18.9189023)
18.9178279,72.8261249,1,,,,POINT (72.8261249 18.9178279)
18.9191763,72.8304947,3,,,,POINT (72.8304947 18.9191763)
18.9182176,72.8264682,1,,,,POINT (72.8264682 18.9182176)
18.9194036,72.8295788,3,,,,POINT (72.8295788 18.9194036)
18.9185404,72.8267987,1,,,,POINT (72.8267987 18.9185404)
18.9197783,72.8315664,3,,,,POINT (72.8315664 18.9197783)
18.9193,72.8274672,3,,,,POINT (72.8274672 18.9193)
18.9200605,72.8309449,3,,,,POINT (72.8309449 18.9200605)
18.9199914,72.8326579,4,,,,POINT (72.8326579 18.9199914)
18.9203678,72.8302681,3,,,,POINT (72.8302681 18.9203678)
18.9203617,72.8318368,4,,,,POINT (72.8318368 18.9203617)
18.9210098,72.8331896,3,,,,POINT (72.8331896 18.9210098)
18.9208963,72.8306402,3,,,,POINT (72.8306402 18.9208963)
