y,x,street_count,highway,junction,geometry
19.0588477,72.9591875,3,,,POINT (72.9591875 19.0588477)
19.0333093,72.8886138,3,,,POINT (72.8886138 19.0333093)
19.0429959,72.9252136,3,,,POINT (72.9252136 19.0429959)
19.0455324,72.9140531,4,traffic_signals,,POINT (72.9140531 19.0455324)
19.045855,72.9051082,3,,,POINT (72.9051082 19.045855)
19.0460893,72.9094591,3,,,POINT (72.9094591 19.0460893)
19.0462973,72.9089703,3,traffic_signals,,POINT (72.9089703 19.0462973)
19.0466165,72.9141073,3,,,POINT (72.9141073 19.0466165)
19.0481928,72.9144325,3,,,POINT (72.9144325 19.0481928)
19.0488394,72.9100462,3,,,POINT (72.9100462 19.0488394)
19.049908,72.9005559,3,,,POINT (72.9005559 19.049908)
19.0499086,72.9003015,3,,,POINT (72.9003015 19.0499086)
19.0502117,72.8721156,3,,,POINT (72.8721156 19.0502117)
19.0496674,72.8383394,3,,,POINT (72.8383394 19.0496674)
19.0497224,72.8366899,3,,,POINT (72.8366899 19.0497224)
19.0505089,72.900306,3,,,POINT (72.900306 19.0505089)
19.0499505,72.8386819,3,,,POINT (72.8386819 19.0499505)
19.0524285,72.9401071,2,,,POINT (72.9401071 19.0524285)
19.0506848,72.837003,3,,,POINT (72.837003 19.0506848)
19.0511244,72.8748763,3,,,POINT (72.8748763 19.0511244)
19.0507498,72.8406738,3,,,POINT (72.8406738 19.0507498)
19.0520984,72.9005347,4,traffic_signals,,POINT (72.9005347 19.0520984)
19.0509505,72.8382139,3,traffic_signals,,POINT (72.8382139 19.0509505)
19.0523559,72.8446506,3,,,POINT (72.8446506 19.0523559)
19.0530955,72.8471947,3,,,POINT (72.8471947 19.0530955)
19.0527529,72.9008717,3,,,POINT (72.9008717 19.0527529)
19.0529987,72.8804974,3,,,POINT (72.8804974 19.0529987)
19.0537309,72.8467126,4,traffic_signals,,POINT (72.8467126 19.0537309)
19.0538405,72.8880497,3,,,POINT (72.8880497 19.0538405)
19.053492,72.8809354,4,,,POINT (72.8809354 19.053492)
19.0533102,72.8823963,3,traffic_signals,,POINT (72.8823963 19.0533102)
19.0539471,72.8893813,4,traffic_signals,,POINT (72.8893813 19.0539471)
19.0539841,72.8946942,4,traffic_signals,,POINT (72.8946942 19.0539841)
19.0549822,72.8481579,3,,,POINT (72.8481579 19.0549822)
19.0549396,72.9109894,4,traffic_signals,,POINT (72.9109894 19.0549396)
19.0555675,72.8445461,4,,,POINT (72.8445461 19.0555675)
19.0589758,72.8645378,4,traffic_signals,,POINT (72.8645378 19.0589758)
19.0564769,72.8416473,3,,,POINT (72.8416473 19.0564769)
19.0548287,72.9005079,3,,,POINT (72.9005079 19.0548287)
19.0563775,72.8837233,5,,,POINT (72.8837233 19.0563775)
19.0557497,72.8475994,3,,,POINT (72.8475994 19.0557497)
19.0553792,72.8725579,3,,,POINT (72.8725579 19.0553792)
19.0561448,72.8974389,3,,,POINT (72.8974389 19.0561448)
19.056642,72.8952415,4,,,POINT (72.8952415 19.056642)
19.0565067,72.8958394,3,,,POINT (72.8958394 19.0565067)
19.0564351,72.8978484,3,,,POINT (72.8978484 19.0564351)
19.0567284,72.9005503,4,,,POINT (72.9005503 19.0567284)
19.0567516,72.847623,3,,,POINT (72.847623 19.0567516)
19.056904,72.8872739,4,traffic_signals,,POINT (72.8872739 19.056904)
19.0572667,72.9038382,3,,,POINT (72.9038382 19.0572667)
19.0571234,72.8494319,4,,,POINT (72.8494319 19.0571234)
19.0573258,72.9005625,4,,,POINT (72.9005625 19.0573258)
19.0570129,72.8446228,1,,,POINT (72.8446228 19.0570129)
19.0579183,72.9038418,3,,,POINT (72.9038418 19.0579183)
19.0569717,72.8450711,1,,,POINT (72.8450711 19.0569717)
19.0579436,72.8517784,3,,,POINT (72.8517784 19.0579436)
19.0579894,72.900576,4,,,POINT (72.900576 19.0579894)
19.0568085,72.8733541,3,,,POINT (72.8733541 19.0568085)
19.0581034,72.849327,3,,,POINT (72.849327 19.0581034)
19.0573215,72.8869918,3,,,POINT (72.8869918 19.0573215)
19.0585235,72.9038277,3,,,POINT (72.9038277 19.0585235)
19.0583689,72.8432684,3,,,POINT (72.8432684 19.0583689)
19.0585354,72.8512273,4,,,POINT (72.8512273 19.0585354)
19.0578014,72.8450136,3,,,POINT (72.8450136 19.0578014)
19.0578444,72.8454818,3,,,POINT (72.8454818 19.0578444)
19.0574854,72.8461406,3,,,POINT (72.8461406 19.0574854)
19.0587571,72.8476894,4,,,POINT (72.8476894 19.0587571)
19.0583939,72.8984173,3,,yes,POINT (72.8984173 19.0583939)
19.0587346,72.84933,4,,,POINT (72.84933 19.0587346)
19.0596039,72.8550676,3,,,POINT (72.8550676 19.0596039)
19.0587817,72.8858965,4,traffic_signals,,POINT (72.8858965 19.0587817)
19.0591177,72.9038573,3,,,POINT (72.9038573 19.0591177)
19.0593098,72.8995596,3,,,POINT (72.8995596 19.0593098)
19.0584545,72.8439969,3,,,POINT (72.8439969 19.0584545)
19.058583,72.8454704,3,,,POINT (72.8454704 19.058583)
19.0592274,72.8506277,3,,,POINT (72.8506277 19.0592274)
19.0591704,72.9006001,4,,,POINT (72.9006001 19.0591704)
19.0594683,72.8535821,3,,,POINT (72.8535821 19.0594683)
19.0598306,72.8985041,3,,,POINT (72.8985041 19.0598306)
19.0594334,72.8454665,3,,,POINT (72.8454665 19.0594334)
19.0596006,72.8493603,3,,,POINT (72.8493603 19.0596006)
19.0596332,72.8964358,3,,,POINT (72.8964358 19.0596332)
19.0587473,72.9579082,3,,,POINT (72.9579082 19.0587473)
19.0585961,72.836734,3,,,POINT (72.836734 19.0585961)
19.0596144,72.8477014,3,,,POINT (72.8477014 19.0596144)
19.0601661,72.8427392,3,,,POINT (72.8427392 19.0601661)
19.0591149,72.9595767,3,,,POINT (72.9595767 19.0591149)
19.0593444,72.8438353,3,,,POINT (72.8438353 19.0593444)
19.0592395,72.8602038,3,,,POINT (72.8602038 19.0592395)
19.0604095,72.8497336,3,,,POINT (72.8497336 19.0604095)
19.0601063,72.8523967,3,,,POINT (72.8523967 19.0601063)
19.0604951,72.8429874,3,,,POINT (72.8429874 19.0604951)
19.0605321,72.8513967,4,,,POINT (72.8513967 19.0605321)
19.0606265,72.8497439,3,,,POINT (72.8497439 19.0606265)
19.0603472,72.8439698,3,,,POINT (72.8439698 19.0603472)
19.0605401,72.8489709,3,,,POINT (72.8489709 19.0605401)
19.0609222,72.8473023,3,,,POINT (72.8473023 19.0609222)
19.0605766,72.8477273,4,,,POINT (72.8477273 19.0605766)
