lat,lon
19.2087515,72.9079913
19.2096921,72.8991925
19.1755115,72.913489
19.1646757,72.8940759
19.1633381,72.8870422
19.163638,72.8854008
19.1637639,72.8847028
19.1642277,72.8824725
19.1647737,72.8795793
19.1665639,72.8772983
19.1672951,72.8768108
19.1673529,72.8767638
19.1696552,72.8751607
19.1707587,72.8746789
19.1721587,72.8744598
19.1721029,72.8743259
19.1720383,72.8716884
19.1711112,72.8715571
19.1708616,72.8715112
19.1683185,72.8693233
19.1684877,72.8683532
19.1685708,72.8678762
19.1686597,72.8673663
19.1687289,72.8669696
19.1691793,72.8644764
19.1697553,72.8593694
19.1697758,72.8591414
19.166152,72.8587229
19.1644067,72.8584888
19.1607856,72.8580314
19.1557448,72.857347
19.1555686,72.8573304
19.1550257,72.8572472
19.1512933,72.8567875
19.1498401,72.856618
19.1465023,72.8563098
19.1449063,72.8561376
19.1420421,72.8551732
19.1406801,72.8550031
19.1405084,72.8550112
19.1403892,72.8546325
19.1401685,72.8539225
19.139502,72.8445607
19.1393783,72.8444321
19.1375572,72.8462384
19.1374636,72.8463312
19.1362112,72.8475178
19.1346605,72.8478154
19.1309011,72.8475587
19.1282533,72.847278
19.127644,72.8472136
19.1275754,72.8472064
19.1243281,72.846817
19.1219941,72.8463029
19.1210879,72.8459995
19.1200279,72.8456287
19.119921,72.8455894
19.1166148,72.8442591
19.1163504,72.8439791
19.1162468,72.8438951
19.1137861,72.8420698
19.1115655,72.8414316
19.1101839,72.8410147
19.1091486,72.8407092
19.1087832,72.8406014
19.108081,72.8404217
19.1079727,72.8403961
19.1060397,72.8398644
19.1060055,72.8398534
19.1039155,72.8394249
19.1027018,72.8394347
19.1014046,72.8394843
19.1006049,72.839525
19.0981665,72.8395813
19.0973973,72.8395821
19.0948128,72.8396211
19.0940955,72.8396076
19.0916008,72.8385917
19.0900539,72.8383468
19.0897276,72.8383336
19.0896476,72.8383289
19.0887623,72.8382783
19.0885039,72.8382612
19.0871516,72.8381719
19.0857566,72.8381313
19.0846811,72.8381019
19.0840774,72.8380506
19.0826746,72.8380343
19.0812113,72.8379547
19.0811284,72.8379536
19.08103,72.8379495
19.0791335,72.8379221
19.078309,72.8378545
19.0768146,72.8377266
19.0762693,72.8376897
19.0756911,72.8376616
19.0751618,72.8376627
19.0737433,72.8375593
19.0725333,72.8375188
19.0725014,72.8375177
19.0713418,72.8374717
19.0699253,72.8374589
19.067814,72.8373712
19.0677338,72.8373712
19.06765,72.8373713
19.0656752,72.8373294
19.0645059,72.8373175
19.0639333,72.8372748
19.0615756,72.8372496
19.0598318,72.8370129
19.0595419,72.8369254
19.0594769,72.8369121
19.0594751,72.8368255
19.0594374,72.8365159
19.0593569,72.8352336
19.0593691,72.8341618
19.0586938,72.8340866
19.0577704,72.8339553
19.0568139,72.8339606
19.0559724,72.8340668
19.0558666,72.8340946
19.0558615,72.8340678
19.0557447,72.8334679
19.055593,72.8326118
19.0555112,72.832221
19.0553263,72.8315082
19.0552115,72.8308263
19.0550739,72.8300536
19.0550635,72.8299944
19.0547747,72.8283741
19.0547276,72.8277874
19.0547146,72.826784
19.054694,72.8260536
19.0546913,72.8260148
19.054655,72.8254941
19.0546489,72.8254318
19.0542192,72.8246061
19.0541143,72.8245609
19.0537897,72.824421
19.0535915,72.8243538
19.0521553,72.824086
19.0519765,72.824517
19.0517935,72.8244897
19.0519149,72.8239982
19.0518772,72.8232473
19.0506258,72.8216319
19.0499676,72.8215773
19.0469707,72.8201042
19.0465532,72.8198654
19.0462389,72.8196829
19.0461505,72.8196517
19.0455177,72.8194234
19.0427907,72.8185617
